model,status,path,sha256,raw_cer,raw_wer,character_accuracy,word_accuracy,sentence_exact_match,precision,recall,map50,map50_95,average_latency_ms,median_latency_ms,model_size_bytes,notes
original_production_model_b,provisional_existing_evidence,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sciobraille-scanner\backend\model\best.pt,b9269091c92be04c461596d8c2254e593864c7bce02c1b2a439837a7cc99f974,0.35200179937022047,0.46428571428571425,0.6479982006297796,0.5357142857142857,0.0,0.9571812844286474,0.9086278246795114,0.9451669352836093,0.7506425713897258,230.12472222196973,190.65890001365915,22537258,"Raw-text metrics use the three-image frozen physical benchmark. Detection metrics come from the existing Prabh validation run and are not a leakage-safe common final benchmark."
v1_optimized,identical_to_production,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sciobraille-model-lab\models\v1_optimized\best.pt,b9269091c92be04c461596d8c2254e593864c7bce02c1b2a439837a7cc99f974,0.35200179937022047,0.46428571428571425,0.6479982006297796,0.5357142857142857,0.0,0.9571812844286474,0.9086278246795114,0.9451669352836093,0.7506425713897258,230.12472222196973,190.65890001365915,22537258,"V1 selection retained Model B. Files are byte-identical and therefore have identical accuracy."
v2_master_winner,blocked_missing_model,C:\Users\devaj\OneDrive\Documents\BRAILLEVISION\sciobraille-model-lab\models\v2_master\best.pt,,,,,,,,,,,,,,"No V2 checkpoint, configuration, evaluation, or winner exists."
