id,image_path,ground_truth,benchmark_type,flip_horizontal,notes,raw_text,corrected_text,detections,confidence,latency_ms_average,latency_ms_median,error,char_distance,word_distance,truth_chars,truth_words,cer,wer,character_accuracy,word_accuracy,exact_sentence_accuracy
scio_known_01,C:/Users/devaj/Downloads/test sciobraille.jpeg,"jaihind
india
sciobraille
visually impaired
great project",physical_phone_known,false,Known user-provided physical Braille sample.,"jaihind
indi
sciobraille
isually impaired
great project","jaihind
india
sciobraille
visually impaired
great project",49,0.8018,503.34560000919737,434.6052999899257,,2,2,57,7,0.03508771929824561,0.2857142857142857,0.9649122807017544,0.7142857142857143,False
dmi_root_01,DMI.jpeg,"dmi college
of engineering",physical_phone_known,,Same content as flipped DMI sample; automatic/default flip allowed.,,,0,0.0,777.4051666686622,773.7520999799017,,26,4,26,4,1.0,1.0,0.0,0.0,False
dmi_flipped_01,Flipped DMI.jpeg,"dmi college
of engineering",physical_phone_known,false,Already flipped image; disable backend flip.,"dmi college
of engineerin","dmi college
of engineering",22,0.752,478.35819999454543,478.39720000047237,,1,1,26,4,0.038461538461538464,0.25,0.9615384615384616,0.75,False
