id,image_path,ground_truth,benchmark_type,flip_horizontal,notes,raw_text,corrected_text,detections,confidence,latency_ms_average,latency_ms_median,error,char_distance,word_distance,truth_chars,truth_words,cer,wer,character_accuracy,word_accuracy,exact_sentence_accuracy
scio_known_01,C:/Users/devaj/Downloads/test sciobraille.jpeg,"jaihind
india
sciobraille
visually impaired
great project",physical_phone_known,false,Known user-provided physical Braille sample.,"jaihfind
india
sciobraille
isually impaire
greaq project","jaihind
india
sciobraille
visually impaired
great project",50,0.8094,924.246366659645,849.3277999805287,,4,4,57,7,0.07017543859649122,0.5714285714285714,0.9298245614035088,0.4285714285714286,False
dmi_root_01,DMI.jpeg,"dmi college
of engineering",physical_phone_known,,Same content as flipped DMI sample; automatic/default flip allowed.,,"jaihind
india
sciobraille
visually impaired
great project",0,0.0,1298.3320333296433,1542.2485999879427,,26,4,26,4,1.0,1.0,0.0,0.0,False
dmi_flipped_01,Flipped DMI.jpeg,"dmi college
of engineering",physical_phone_known,false,Already flipped image; disable backend flip.,"dmi college
o f ien g in e e wr in","dmi college
o f in g in e e wr in",24,0.7458,934.7333666616274,987.3990000050981,,10,9,26,4,0.38461538461538464,2.25,0.6153846153846154,0.0,False
