id,image_path,ground_truth,benchmark_type,flip_horizontal,notes,raw_text,corrected_text,detections,confidence,latency_ms_average,latency_ms_median,error,char_distance,word_distance,truth_chars,truth_words,cer,wer,character_accuracy,word_accuracy,exact_sentence_accuracy
scio_known_01,C:/Users/devaj/Downloads/test sciobraille.jpeg,"jaihind
india
sciobraille
visually impaired
great project",physical_phone_known,false,Known user-provided physical Braille sample.,"jaihfind
india
sciobraille
isually impaire a
greaq project","jaihind
india
sciobraille
visually impaired a
great project",51,0.8003,868.9948999963235,250.00130000989884,,5,5,57,7,0.08771929824561403,0.7142857142857143,0.9122807017543859,0.2857142857142857,False
dmi_root_01,DMI.jpeg,"dmi college
of engineering",physical_phone_known,,Same content as flipped DMI sample; automatic/default flip allowed.,,"jaihind
india
sciobraille
visually impaired a
great project",0,0.0,326.88723333800834,322.2343999950681,,26,4,26,4,1.0,1.0,0.0,0.0,False
dmi_flipped_01,Flipped DMI.jpeg,"dmi college
of engineering",physical_phone_known,false,Already flipped image; disable backend flip.,"dmi college
o f ein ginee rwin","dmi college
o f in give win",24,0.778,812.0957333303522,790.0661999883596,,6,5,26,4,0.23076923076923078,1.25,0.7692307692307692,0.0,False
