id,image_path,ground_truth,benchmark_type,flip_horizontal,notes,raw_text,corrected_text,detections,confidence,latency_ms_average,latency_ms_median,error,char_distance,word_distance,truth_chars,truth_words,cer,wer,character_accuracy,word_accuracy,exact_sentence_accuracy
scio_known_01,C:/Users/devaj/Downloads/test sciobraille.jpeg,"jaihind
india
sciobraille
visually impaired
great project",physical_phone_known,false,Known user-provided physical Braille sample.,jiagssirruciheainialodntlbidyrapariiomljpleae ic tr e d,jiagssirruciheainialodntlbidyrapariiomljpleae ic tr e d,51,0.7937,39443.0695999957,38483.64489999949,,47,7,57,7,0.8245614035087719,1.0,0.17543859649122806,0.0,False
dmi_root_01,DMI.jpeg,"dmi college
of engineering",physical_phone_known,,Same content as flipped DMI sample; automatic/default flip allowed.,,jiagssirruciheainialodntlbidyrapariiomljpleae ic tr e d,0,0.0,4330.8706666575745,4445.303899992723,,26,4,26,4,1.0,1.0,0.0,0.0,False
dmi_flipped_01,Flipped DMI.jpeg,"dmi college
of engineering",physical_phone_known,false,Already flipped image; disable backend flip.,o f d emmm nnni g ic noo lel el re ig ne,o f d emma none g ic not let el re ig ne,28,0.7238,3226.1769333369252,3121.147600002587,,30,13,26,4,1.1538461538461537,3.25,0.0,0.0,False
