id,image_path,ground_truth,benchmark_type,flip_horizontal,notes,raw_text,corrected_text,detections,confidence,latency_ms_average,latency_ms_median,error,char_distance,word_distance,truth_chars,truth_words,cer,wer,character_accuracy,word_accuracy,exact_sentence_accuracy
scio_known_01,C:/Users/devaj/Downloads/test sciobraille.jpeg,"jaihind
india
sciobraille
visually impaired
great project",physical_phone_known,false,Known user-provided physical Braille sample.,"jaihfnd
india
sciobraille
isuallyimpairea
greaqproject","jaihind
india
sciobraille
isuallyimpairea
greaqproject",50,0.8119,9470.310633342402,7704.880800010869,,6,5,57,7,0.10526315789473684,0.7142857142857143,0.8947368421052632,0.2857142857142857,False
dmi_root_01,DMI.jpeg,"dmi college
of engineering",physical_phone_known,,Same content as flipped DMI sample; automatic/default flip allowed.,,,0,0.0,493.41179998979595,480.679100000998,,26,4,26,4,1.0,1.0,0.0,0.0,False
dmi_flipped_01,Flipped DMI.jpeg,"dmi college
of engineering",physical_phone_known,false,Already flipped image; disable backend flip.,"dmicollege
ofengineerin","college
engineering",22,0.8171,409.0309666644316,349.96540000429377,,3,4,26,4,0.11538461538461539,1.0,0.8846153846153846,0.0,False
